ts_code,trade_date,open,high,low,close,vol,amount
VNM,20171010,68.45,68.73,68.45,68.59,396010,27162325.900000002
VNM,20171011,68.59,68.73,68.45,68.59,626740,42988096.6
VNM,20171012,68.59,68.64,68.36,68.36,397590,27179252.4
VNM,20171013,68.36,69.01,68.36,69.01,500040,34507760.400000006
VNM,20171016,69.24,69.33,68.64,68.64,681780,46797379.2
VNM,20171017,68.64,68.91,68.59,68.87,398020,27411637.400000002
VNM,20171018,68.82,69.1,68.82,68.82,385670,26541809.4
VNM,20171019,68.82,68.82,68.59,68.73,387120,26606757.6
VNM,20171020,68.64,68.73,68.59,68.59,260000,17833400.0
VNM,20171023,68.59,68.59,68.27,68.36,589480,40296852.8
VNM,20171024,68.36,68.82,68.17,68.82,676220,46537460.4
VNM,20171025,68.82,69.56,68.82,69.51,904450,62868319.50000001
VNM,20171026,69.56,70.16,69.56,70.11,974570,68327102.7
VNM,20171027,70.21,70.39,70.11,70.39,768310,54081340.9
VNM,20171030,70.48,70.48,70.02,70.16,557510,39114901.6
VNM,20171031,70.11,70.16,69.74,69.74,962120,67098248.8
VNM,20171101,69.74,71.82,69.74,71.59,1499790,107369966.10000001
VNM,20171102,71.59,72.89,71.22,72.01,1117310,80457493.10000001
VNM,20171103,72.01,72.05,70.9,71.68,469800,33675264.0
VNM,20171106,71.68,72.98,71.68,72.98,1120090,81744168.2
VNM,20171107,72.98,73.21,72.52,72.89,561000,40891290.0
VNM,20171108,72.89,74.18,72.89,73.99,2431670,179919263.29999998
VNM,20171109,73.99,75.29,73.58,75.06,2051860,154012611.6
VNM,20171110,74.96,80.28,74.83,80.28,9270450,744231726.0
VNM,20171113,80.83,85.54,80.37,85.22,4495140,383075830.8
VNM,20171114,83.6,84.16,80.83,83.14,1489540,123840355.6
VNM,20171115,81.2,84.99,81.2,83.97,1215870,102096603.9
VNM,20171116,83.6,84.99,83.23,84.62,637980,53985867.6
VNM,20171117,84.62,84.94,84.16,84.62,645550,54626441.0
VNM,20171120,84.06,86.65,83.83,86.37,964830,83332367.10000001
VNM,20171121,86.37,90.39,86.37,87.3,1128220,98493606.0
VNM,20171122,87.2,87.3,83.14,85.4,1829730,156258942.0
VNM,20171123,85.4,87.3,84.11,85.4,664960,56787584.00000001
VNM,20171124,83.83,85.91,83.65,85.45,678800,58003460.0
VNM,20171127,84.99,85.68,84.57,85.45,693370,59248466.5
VNM,20171128,84.52,85.45,84.52,85.45,380450,32509452.5
VNM,20171129,84.99,85.63,84.99,85.45,464670,39706051.5
VNM,20171130,85.45,87.53,85.4,86.23,1076240,92804175.2
VNM,20171201,86.37,90.53,86.37,90.53,1252580,113396067.4
VNM,20171204,90.53,94.73,90.53,93.76,1419300,133073568.0
VNM,20171205,93.76,94.69,91.45,91.92,710070,65269634.4
VNM,20171206,90.07,90.99,86.46,90.07,949920,85559294.39999999
VNM,20171207,90.48,91.41,85.91,85.91,1188910,102139258.1
VNM,20171208,85.91,89.24,85.91,86.88,839440,72930547.2
VNM,20171211,87.3,89.7,86.88,88.22,843650,74426803.0
VNM,20171212,89.38,90.02,87.76,89.84,757020,68010676.8
VNM,20171213,89.84,90.25,88.91,89.98,652890,58747042.2
VNM,20171214,90.3,92.84,90.07,92.84,837490,77752571.60000001
VNM,20171215,92.84,92.84,90.07,90.99,1865860,169774601.39999998
VNM,20171218,92.84,94.92,91.64,94.69,1218260,115357039.39999999
VNM,20171219,94.69,95.1,93.76,93.76,1086070,101829923.2
VNM,20171220,92.84,94.55,92.38,93.3,554110,51698463.0
VNM,20171221,92.84,94.55,92.84,94.18,467120,43993361.6
VNM,20171222,93.76,94.22,93.3,93.72,442910,41509525.2
VNM,20171225,93.35,93.67,92.28,92.38,377420,34866059.6
